product_name,drug_name,company_name,company_type,outcome,start_date,last_updated,din,dose,pharmaceutical_form,route_of_administration,medical_necessity,marketed_by_other_manufacturers,est_resupply_date,discontinued,discontinuation_date
APO-FAMOTIDINE TAB 40MG USP,FAMOTIDINE,Apotex Inc.,Generic,Current,2014-07-07T00:00:00Z,2016-03-16T00:00:00Z,01953834,40 mg,Tablet,Oral,No,,2016-12-31T00:00:00Z,No,
APO-FAMOTIDINE TAB 20MG USP,FAMOTIDINE,Apotex Inc.,Generic,Current,2014-10-01T00:00:00Z,2016-03-16T00:00:00Z,01953842,20 mg ,Tablet,Oral,No,,2016-12-31T00:00:00Z,No,
CARDURA-2 TAB 2MG,DOXAZOSIN (DOXAZOSIN MESYLATE),Pfizer Canada Inc.,Innovator,Resolved,2015-10-01T00:00:00Z,2015-10-26T00:00:00Z,01958097,2 mg,Tablet,Oral,,,2015-10-26T00:00:00Z,No,
CARDURA-1 TAB 1MG,DOXAZOSIN (DOXAZOSIN MESYLATE),Pfizer Canada Inc.,Innovator,Resolved,2014-08-13T00:00:00Z,2014-10-21T00:00:00Z,01958100,1 mg,Tablet,Oral,,,2014-10-21T00:00:00Z,No,
MENOMUNE® A/C/Y/W135 (01959018),"MENOMUNE® A/C/Y/W-135: meningococcal groups A, C, Y and W-135 polysaccharide antigens (Men-P-ACYW-135)",Sanofi Pasteur Limited,Innovator,Current,2015-02-13T00:00:00Z,2015-04-07T00:00:00Z,01959018,50 mcg/0.5 mL,Powder for Solution,Vaccine,Yes,,,No,
COCAINE HYDROCHLORIDE TOP SOL 40MG/ML,COCAINE HYDROCHLORIDE,Sandoz Canada Inc.,Generic,Current,2015-05-31T00:00:00Z,2015-03-03T00:00:00Z,01962388,40 mg,Liquid,Topical,No,,,Yes,
ULTRAVATE OINTMENT 0.05%,HALOBETASOL PROPIONATE,Valeant Canada ,Generic,Resolved,2015-06-23T00:00:00Z,2015-10-16T00:00:00Z,01962728,5.0E-4,Ointment,Topical,No,,2015-10-15T00:00:00Z,No,
ELDOPAQUE CRM 2%,HYDROQUINONE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,01964526,0.02,Cream,Topical,No,,,Yes,
ELDOPAQUE FORTE CRM 4%,HYDROQUINONE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,01964534,0.04,Cream,Topical,No,,,Yes,
TANTUM (NSAID mouth wash),BENZYDAMINE HYDROCHLORIDE,Valeant Canada ,Generic,Resolved,2014-07-24T00:00:00Z,2015-05-29T00:00:00Z,01966065,15 mg,Solution,Topical,No,,,No,
NORFLEX,ORPHENADRINE CITRATE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,01966154,100 mg,Tablet (Extended Release),Oral,No,,,Yes,
NORFLEX,ORPHENADRINE CITRATE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,01966162,30 mg,Liquid,Oral,No,,,Yes,
TAMBOCOR,FLECAINIDE ACETATE,Valeant Canada ,Generic,Resolved,2014-01-29T00:00:00Z,2015-05-29T00:00:00Z,01966197,50 mg,Tablet,Oral,,,,No,
TAMBOCOR,FLECAINIDE ACETATE,Valeant Canada ,Generic,Resolved,2014-01-29T00:00:00Z,2015-05-29T00:00:00Z,01966200,100 mg,Tablet,Oral,,,,No,
BENOQUIN CRM 20%,MONOBENZONE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,01966391,0.2,Cream,Topical,No,,,Yes,
TRIANAL-C 1/2 CAPSULE,ACETYLSALICYLIC ACID,LABORATOIRES TRIANON INC,Generic,Current,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,01971387,330 mg,Capsule,Oral,No,,,No,
TRIANAL CAPSULES,ACETYLSALICYLIC ACID,LABORATOIRES TRIANON INC,Generic,Current,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,01971417,330 mg,Capsule,Oral,No,,,No,
Micro Iodide Inj (Code # 7880),Micro Iodide Inj (Code # 7880),Baxter Corporation,Innovator,Resolved,2013-08-21T00:00:00Z,2014-01-28T00:00:00Z,01974548,100 mcg/mL,Injection,Injectable,Yes,,2014-04-01T00:00:00Z,No,
STERILE TRIAMCINOLONE ACETONIDE SUS 40MG/ML,TRIAMCINOLONE ACETONIDE,CYTEX PHARMACEUTICALS INC,Generic,Resolved,2014-04-02T00:00:00Z,2014-07-29T00:00:00Z,01977563,40 mg,Suspension,Injectable,Yes,,2014-07-15T00:00:00Z,No,
SOLAQUIN FORTE,HYDROQUINONE,Valeant Canada ,Generic,Resolved,2014-08-22T00:00:00Z,2015-03-24T00:00:00Z,01977830,0.04,Cream,Topical,No,,,Yes,
TRIATEC-8 FORT TAB,ACETAMINOPHEN,LABORATOIRES TRIANON INC,Generic,Current,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,01977881,500 mg ,Tablet,Oral,No,,,No,
APO-GEMFIBROZIL CAP 300MG USP,GEMFIBROZIL,Apotex Inc.,Generic,Current,2014-10-09T00:00:00Z,2016-01-04T00:00:00Z,01979574,300 mg,Capsule,Oral,No,,2016-12-31T00:00:00Z,No,
APO-GEMFIBROZIL,GEMFIBROZIL,Apotex Inc.,Generic,Current,2014-10-09T00:00:00Z,2016-01-04T00:00:00Z,01979582,600 mg,Tablet,Oral,No,,2016-12-31T00:00:00Z,No,
MICRO SE,SELENIUM (SELENIOUS ACID),Sandoz Canada Inc.,Generic,Resolved,2014-09-03T00:00:00Z,2015-02-10T00:00:00Z,01986007,40 mcg,Solution,Injectable,Yes,,,No,
Micro Selenium for Injection (code # 7650),Micro Selenium for Injection (code # 7650),Baxter Corporation,Innovator,Resolved,2013-05-17T00:00:00Z,2013-07-15T00:00:00Z,01986007,40 mcg/mL,Injection,Injectable,Yes,,2013-06-11T00:00:00Z,No,
RATIO-SALBUTAMOL,SALBUTAMOL (SALBUTAMOL SULFATE),Teva Canada Limited,Generic,Current,2014-09-29T00:00:00Z,2015-02-03T00:00:00Z,01986864,1 mg/ml,Solution,Inhalation,No,5.0,,Yes,
CYANOCOBALAMIN INJECTION 1000MCG/ML,VITAMIN B12,CYTEX PHARMACEUTICALS INC,Generic,Resolved,2014-04-02T00:00:00Z,2014-07-29T00:00:00Z,01987003,1 mg,Liquid,Injectable,Yes,,2014-07-15T00:00:00Z,No,
Sofra-tulle 10/10cm,Sulfate de Framécytine,Erfa Canada 2012 Inc.,Generic,Current,2013-10-23T00:00:00Z,2014-09-09T00:00:00Z,01988840,0.01,10/10 cm,Topical,No,,,No,
PMS-AMANTADINE HYDROCHLORIDE CAP 100MG,AMANTADINE HYDROCHLORIDE,Pharmascience Inc.,Generic,Resolved,2014-02-27T00:00:00Z,2014-03-04T00:00:00Z,01990403,100 mg,Capsule,Oral,No,,2014-03-04T00:00:00Z,No,
HEPARIN SODIUM INJECTION USP,Heparin Sodium in 0.9% Sodium Chloride / Héparine sodique dans du chlorure de sodium à 0.9% Inj. - 07620250,Hospira Healthcare Corporation,Generic,Resolved,2013-07-12T00:00:00Z,2013-11-01T00:00:00Z,01990748,2 units,Solution,Injectable,Yes,,2013-11-01T00:00:00Z,No,
HEPARIN SODIUM IN .9% SODIUM CHLORIDE INJECTION,HEPARIN SODIUM,Hospira Healthcare Corporation,Generic,Resolved,2014-01-17T00:00:00Z,2014-04-28T00:00:00Z,01990748,2 units,Solution,Injectable,Yes,,2014-01-17T00:00:00Z,No,
HEPARIN SODIUM IN .9% SODIUM CHLORIDE INJECTION,HEPARIN SODIUM,Hospira Healthcare Corporation,Generic,Resolved,2015-04-24T00:00:00Z,2015-08-21T00:00:00Z,01990748,2 units,Solution,Injectable,Yes,,,No,
ACETAMINOPHENE CODEINE ET CAFEINE CAPLETS,ACETAMINOPHEN,LABORATOIRES TRIANON INC,Generic,Current,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,01996541,325 mg,Tablet,Oral,No,,,No,
ACETAMINOPHENE CODEINE ET CAFEINE FORT,ACETAMINOPHEN,LABORATOIRES TRIANON INC,Generic,Current,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,01996568,500 mg ,Tablet,Oral,No,,,No,
APO-CAPTO TAB 6.25MG,CAPTOPRIL,Apotex Inc.,Generic,Resolved,2015-06-16T00:00:00Z,2016-01-19T00:00:00Z,01999559,6.25 mg,Tablet,Oral,No,,2016-01-30T00:00:00Z,No,
COCAINE HYDROCHLORIDE TOPICAL SOL 10%,COCAINE HYDROCHLORIDE,Sandoz Canada Inc.,Generic,Current,2015-05-31T00:00:00Z,2015-03-03T00:00:00Z,02004062,100 mg,Liquid,Topical,No,,,Yes,
CALTINE INJ 100 UNIT/ML (1ML AMP),CALCITONIN (SALMON SYNTHETIC),Ferring Inc.,Innovator,Resolved,2014-03-28T00:00:00Z,2015-08-21T00:00:00Z,02007134,100 units,Liquid,Injectable,No,,2014-03-28T00:00:00Z,Yes,2014-03-26T00:00:00Z
RETISOL-A,TRETINOIN,GlaxoSmithKline Inc.,Innovator,Current,2013-05-02T00:00:00Z,2015-05-29T00:00:00Z,02008726,0.001,Cream,Topical,No,,,Yes,
CLINIMIX,L-ALANINE,Baxter Corporation,Innovator,Current,2014-09-15T00:00:00Z,2014-09-15T00:00:00Z,02013886,1.04 g,Solution,Injectable,Yes,,,No,
CLINIMIX E,DEXTROSE,Baxter Corporation,Innovator,Resolved,2014-09-15T00:00:00Z,2015-08-18T00:00:00Z,02013967,16.6 g,Solution,Injectable,No,2.0,2014-09-19T00:00:00Z,No,
PLAQUENIL,HYDROXYCHLOROQUINE SULFATE,Sanofi Canada,Innovator,Resolved,2014-04-03T00:00:00Z,2014-04-07T00:00:00Z,02017709,200 mg,Tablet,Oral,,,2014-04-03T00:00:00Z,No,
PHISOHEX,HEXACHLOROPHENE,Sanofi Canada,Innovator,Current,2014-02-18T00:00:00Z,2014-02-28T00:00:00Z,02017733,0.03,Emulsion,Topical,No,,2014-02-28T00:00:00Z,Yes,
PHISOHEX,HEXACHLOROPHENE,Sanofi Canada,Innovator,Current,2014-07-30T00:00:00Z,2014-06-11T00:00:00Z,02017733,0.03,Emulsion,Topical,No,,,Yes,
CYCLOMEN,DANAZOL,Sanofi Canada,Innovator,Resolved,2015-11-03T00:00:00Z,2015-11-13T00:00:00Z,02018160,200 mg,Capsule,Oral,,,2015-11-13T00:00:00Z,No,
CYCLOMEN,DANAZOL,Sanofi Canada,Innovator,Resolved,2016-01-08T00:00:00Z,2016-02-05T00:00:00Z,02018160,200 mg,Capsule,Oral,,,2016-02-03T00:00:00Z,No,
SOLUGEL,BENZOYL PEROXIDE,GlaxoSmithKline Inc.,Innovator,Current,2014-04-01T00:00:00Z,2014-05-22T00:00:00Z,02019825,0.08,Gel,Topical,No,,,Yes,
M-ESLON,MORPHINE SULFATE,ETHYPHARM INC,Generic,Resolved,2014-08-22T00:00:00Z,2014-09-15T00:00:00Z,02019949,30 mg,Capsule (Extended Release),Oral,,,2014-09-15T00:00:00Z,No,
M-ESLON,MORPHINE SULFATE,ETHYPHARM INC,Generic,Resolved,2014-12-15T00:00:00Z,2015-02-17T00:00:00Z,02019949,30 mg,Capsule (Extended Release),Oral,,,,No,
M-ESLON,MORPHINE SULFATE,ETHYPHARM INC,Generic,Resolved,2015-03-13T00:00:00Z,2015-04-09T00:00:00Z,02019949,30 mg,Capsule (Extended Release),Oral,,,2015-04-09T00:00:00Z,No,
M-ESLON,MORPHINE SULFATE,ETHYPHARM INC,Generic,Resolved,2014-07-30T00:00:00Z,2014-09-15T00:00:00Z,02019957,60 mg,Capsule (Extended Release),Oral,,,2014-09-15T00:00:00Z,No,
M-ESLON,MORPHINE SULFATE,ETHYPHARM INC,Generic,Resolved,2014-10-06T00:00:00Z,2014-09-17T00:00:00Z,02019957,60 mg,Capsule (Extended Release),Oral,,,2014-09-16T00:00:00Z,No,
M-ESLON,MORPHINE SULFATE,ETHYPHARM INC,Generic,Resolved,2014-12-15T00:00:00Z,2015-02-17T00:00:00Z,02019957,60 mg,Capsule (Extended Release),Oral,,,,No,
M-ESLON,MORPHINE SULFATE,ETHYPHARM INC,Generic,Resolved,2015-04-09T00:00:00Z,2015-04-09T00:00:00Z,02019957,60 mg,Capsule (Extended Release),Oral,,,2015-04-09T00:00:00Z,No,
MORPHINE LP EPIDURAL,MORPHINE SULFATE,Sandoz Canada Inc.,Generic,Current,2015-03-03T00:00:00Z,2015-03-03T00:00:00Z,02021056,0.5 mg,Solution,Injectable,Yes,,,Yes,
PMS-AMANTADINE HYDROCHLORIDE SYRUP 10MG/ML,AMANTADINE HYDROCHLORIDE,Pharmascience Inc.,Generic,Resolved,2013-10-10T00:00:00Z,2014-02-26T00:00:00Z,02022826,10 mg,Syrup,Oral,No,,2013-11-20T00:00:00Z,No,
SIROP DOCUSATE DE SODIUM USP 20MG/5ML,DOCUSATE SODIUM,LABORATOIRES TRIANON INC,Generic,Current,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,02024624,20 mg,Syrup ,Oral,No,,,No,
MYLAN-CLOBETASOL OINTMENT,CLOBETASOL PROPIONATE,Mylan Pharmaceuticals ULC,Generic,Current,2015-04-02T00:00:00Z,2015-04-02T00:00:00Z,02026767,5.0E-4,Ointment,Topical,No,,,No,
PAXIL TAB 10MG,PAROXETINE (PAROXETINE HYDROCHLORIDE),GlaxoSmithKline Inc.,Innovator,Resolved,2014-12-01T00:00:00Z,2015-02-20T00:00:00Z,02027887,10 mg,Tablet,Oral,No,,2015-02-19T00:00:00Z,No,
TRYPTAN TAB 500MG,TRYPTOPHAN,Valeant Canada ,Generic,Resolved,2015-06-23T00:00:00Z,2015-07-07T00:00:00Z,02029456,500 mg,Tablet,Oral,,,2015-07-15T00:00:00Z,No,
RATIO-LEVOBUNOLOL(Opht.),LEVOBUNOLOL HYDROCHLORIDE,Teva Canada Limited,Generic,Current,2014-09-29T00:00:00Z,2014-09-29T00:00:00Z,02031159,0.0025,Solution,Topical,No,,,Yes,
RATIO-LEVOBUNOLOL(Opht.),LEVOBUNOLOL HYDROCHLORIDE,Teva Canada Limited,Generic,Current,2014-09-29T00:00:00Z,2014-09-29T00:00:00Z,02031167,0.005,Solution,Topical,No,,2014-09-29T00:00:00Z,Yes,
ISOFLURANE USP,ISOFLURANE,AbbVie Corporation,Innovator,Current,2016-03-31T00:00:00Z,2015-10-23T00:00:00Z,02032384,0.999,Liquid,Inhalation,Yes,3.0,,No,
CORDARONE,CORDARONE,Pfizer Canada Inc.,Innovator,Resolved,2013-10-15T00:00:00Z,2014-01-13T00:00:00Z,02036282,200 mg,Tablet,Oral,,,2014-01-13T00:00:00Z,No,
CORDARONE,AMIODARONE HYDROCHLORIDE,Pfizer Canada Inc.,Innovator,Resolved,2014-12-12T00:00:00Z,2015-11-20T00:00:00Z,02036282,200 mg,Tablet,Oral,No,,,Yes,2015-03-01T00:00:00Z
DIFLUNISAL (02039486),DIFLUNISAL,AA Pharma Inc.,Generic,Current,2014-12-15T00:00:00Z,2016-04-10T00:00:00Z,02039486,250 mg,Tablet,Oral,,,2016-04-15T00:00:00Z,No,
DIFLUNISAL (02039494),DIFLUNISAL,AA Pharma Inc.,Generic,Current,2014-12-15T00:00:00Z,2016-04-10T00:00:00Z,02039494,500 mg,Tablet,Oral,,,2016-04-15T00:00:00Z,No,
GLYCOPYRROLATE INJECTION USP,GLYCOPYRROLATE,Sandoz Canada Inc.,Generic,Resolved,2013-11-05T00:00:00Z,2014-09-02T00:00:00Z,02039508,0.2 mg,Liquid,Injectable,Yes,,,No,
GLYCOPYRROLATE INJECTION USP,GLYCOPYRROLATE,Sandoz Canada Inc.,Generic,Resolved,2015-03-26T00:00:00Z,2015-09-27T00:00:00Z,02039508,0.2 mg,Liquid,Injectable,Yes,,2015-09-30T00:00:00Z,No,
TENORMIN 50MG,ATENOLOL,AstraZeneca Canada Inc.,Innovator,Resolved,2014-09-18T00:00:00Z,2014-11-14T00:00:00Z,02039532,50 mg,Tablet,Oral,No,,2014-11-14T00:00:00Z,No,
TENORMIN 100MG,ATENOLOL,AstraZeneca Canada Inc.,Innovator,Resolved,2014-09-18T00:00:00Z,2014-11-14T00:00:00Z,02039540,100 mg,Tablet,Oral,No,,2014-11-14T00:00:00Z,No,
APO-CLOMIPRAMINE TABLETS 50MG,CLOMIPRAMINE HYDROCHLORIDE,Apotex Inc.,Generic,Current,2015-12-15T00:00:00Z,2016-02-17T00:00:00Z,02040751,50 mg,Tablet,Oral,,,,Yes,2015-10-01T00:00:00Z
APO-CLOMIPRAMINE TABLETS 25MG,CLOMIPRAMINE HYDROCHLORIDE,Apotex Inc.,Generic,Current,2015-12-15T00:00:00Z,2016-02-17T00:00:00Z,02040778,25 mg,Tablet,Oral,,,,Yes,2015-10-01T00:00:00Z
APO-CLOMIPRAMINE TABLETS 10MG,CLOMIPRAMINE HYDROCHLORIDE,Apotex Inc.,Generic,Current,2015-12-15T00:00:00Z,2016-02-17T00:00:00Z,02040786,10 mg,Tablet,Oral,,,,Yes,2015-10-01T00:00:00Z
ATIVAN,LORAZEPAM,Pfizer Canada Inc.,Innovator,Resolved,2015-09-25T00:00:00Z,2015-11-04T00:00:00Z,02041472,2 mg,Tablet,Oral,No,,2015-10-30T00:00:00Z,No,
MIN-OVRAL 28,LEVONORGESTREL,Pfizer Canada Inc.,Innovator,Resolved,2015-04-11T00:00:00Z,2015-05-11T00:00:00Z,02042339,150 mcg,Tablet,Oral,,,2015-05-11T00:00:00Z,No,
ORTHO-CEPT TABLETS (28 DAY),DESOGESTREL,Janssen Inc.,Innovator,Resolved,2014-09-11T00:00:00Z,2014-09-18T00:00:00Z,02042533,0.15 mg,Tablet,Oral,No,,2014-09-17T00:00:00Z,No,
ORTHO-CEPT TABLETS (28 DAY),ETHINYL ESTRADIOL,Janssen Inc.,Innovator,Resolved,2015-03-12T00:00:00Z,2016-02-03T00:00:00Z,02042533,0.03 mg,Tablet,Oral,No,,,Yes,
PREMARIN,CONJUGATED ESTROGENS,Pfizer Canada Inc.,Innovator,Resolved,2014-07-16T00:00:00Z,2014-10-21T00:00:00Z,02043408,0.625 mg,Tablet,Oral,No,,2014-07-16T00:00:00Z,Yes,2014-07-16T00:00:00Z
TEVA-SUCRALFATE,SUCRALFATE,Teva Canada Limited,Generic,Resolved,2016-03-17T00:00:00Z,2016-04-07T00:00:00Z,02045702,1 g,Tablet,Oral,,,2016-04-10T00:00:00Z,No,
PEDIATRIC DIGOXIN INJECTION C.S.D.,DIGOXIN,Sandoz Canada Inc.,Generic,Current,2014-09-02T00:00:00Z,2014-09-18T00:00:00Z,02048272,0.05 mg,Liquid,Injectable,Yes,,,Yes,
ZESTRIL TAB 20MG,LISINOPRIL,AstraZeneca Canada Inc.,Innovator,Resolved,2016-03-21T00:00:00Z,2016-04-19T00:00:00Z,02049384,20 mg,Tablet,Oral,No,,2016-04-18T00:00:00Z,No,
NOVAHISTEX DH,HYDROCODONE BITARTRATE,Sanofi Canada,Innovator,Resolved,2014-12-25T00:00:00Z,2015-02-27T00:00:00Z,02049481,5 mg,Syrup,Oral,,,2015-02-16T00:00:00Z,No,
NOVAHISTEX DH,HYDROCODONE BITARTRATE,Sanofi Canada,Innovator,Resolved,2015-01-30T00:00:00Z,2015-02-27T00:00:00Z,02049481,5 mg,Syrup,Oral,,,2015-02-16T00:00:00Z,No,
TENORETIC 50/25MG TAB,ATENOLOL,AstraZeneca Canada Inc.,Innovator,Resolved,2014-06-19T00:00:00Z,2014-06-26T00:00:00Z,02049961,50 mg,Tablet,Oral,No,,2014-06-27T00:00:00Z,No,
TENORETIC 50/25MG TAB,ATENOLOL,AstraZeneca Canada Inc.,Innovator,Resolved,2014-09-04T00:00:00Z,2014-09-18T00:00:00Z,02049961,50 mg,Tablet,Oral,No,,2014-09-19T00:00:00Z,No,
TENORETIC 50/25MG TAB,ATENOLOL,AstraZeneca Canada Inc.,Innovator,Resolved,2014-10-01T00:00:00Z,2014-10-06T00:00:00Z,02049961,50 mg,Tablet,Oral,No,,2014-10-10T00:00:00Z,No,
TENORETIC 100/25MG TAB,ATENOLOL,AstraZeneca Canada Inc.,Innovator,Resolved,2014-07-16T00:00:00Z,2014-07-23T00:00:00Z,02049988,100 mg,Tablet,Oral,No,,2014-07-25T00:00:00Z,No,
APO-DOXEPIN,DOXEPIN (DOXEPIN HYDROCHLORIDE),Apotex Inc.,Generic,Resolved,2016-03-29T00:00:00Z,2016-05-06T00:00:00Z,02050005,25 mg,Capsule,Oral,,,2016-04-29T00:00:00Z,No,
APO-DOXEPIN,DOXEPIN (DOXEPIN HYDROCHLORIDE),Apotex Inc.,Generic,Current,2016-03-29T00:00:00Z,2016-03-29T00:00:00Z,02050005,25 mg,Capsule,Oral,,,2016-04-18T00:00:00Z,No,
RENOVA,TRETINOIN,Valeant Canada ,Generic,Resolved,2014-08-22T00:00:00Z,2015-03-24T00:00:00Z,02052407,5.0E-4,Cream,Topical,No,,,Yes,
ENTOCORT ENEMA 0.02 MG/ML,BUDESONIDE,AstraZeneca Canada Inc.,Innovator,Resolved,2016-01-15T00:00:00Z,2016-03-11T00:00:00Z,02052431,2.3 mg,Enema,Other,No,,2016-03-11T00:00:00Z,No,
RATIO-COTRIDIN EXPECTORANT,CODEINE PHOSPHATE,Teva Canada Limited,Generic,Resolved,2015-01-16T00:00:00Z,2015-05-01T00:00:00Z,02053403,10 mg,Syrup,Oral,No,,2015-04-20T00:00:00Z,No,
RATIO-COTRIDIN EXPECTORANT,CODEINE PHOSPHATE,Teva Canada Limited,Generic,Resolved,2015-09-24T00:00:00Z,2016-01-07T00:00:00Z,02053403,10 mg,Syrup,Oral,No,,2015-12-30T00:00:00Z,No,
"Charcoal, Activated USP (aqueous suspension) - Charac 25","Charcoal, Activated USP (aqueous suspension) - Charac 25",Omega Laboratories Ltd.,Generic,Resolved,2014-02-20T00:00:00Z,2014-06-17T00:00:00Z,02056429,25 g/112.5 mL,Suspension,Oral,No,,,No,
CHARAC-25,CHARCOAL ACTIVATED,Omega Laboratories Ltd.,Generic,Resolved,2015-06-18T00:00:00Z,2015-08-21T00:00:00Z,02056429,222 mg,Suspension,Oral,No,,2015-08-12T00:00:00Z,No,
AREDIA 30MG,PAMIDRONATE DISODIUM,Novartis Canada Inc.,Innovator,Current,2015-08-26T00:00:00Z,2016-02-15T00:00:00Z,02059762,30 mg,Powder for Solution,Injectable,Yes,,,Yes,
AREDIA 90MG,PAMIDRONATE DISODIUM,Novartis Canada Inc.,Innovator,Current,2015-08-26T00:00:00Z,2016-02-15T00:00:00Z,02059789,90 mg,Powder for Solution,Injectable,Yes,,,Yes,
LESCOL 20MG,FLUVASTATIN (FLUVASTATIN SODIUM),Novartis Canada Inc.,Innovator,Current,2015-04-16T00:00:00Z,2015-05-04T00:00:00Z,02061562,20 mg,Capsule,Oral,No,,,Yes,
LESCOL 40MG,Lescol,Novartis Canada Inc.,Innovator,Resolved,2013-06-27T00:00:00Z,2013-08-07T00:00:00Z,02061570,40 mg,Capsule,Oral,,,2013-08-05T00:00:00Z,No,
LESCOL 40MG,FLUVASTATIN (FLUVASTATIN SODIUM),Novartis Canada Inc.,Innovator,Current,2015-04-16T00:00:00Z,2015-04-16T00:00:00Z,02061570,40 mg,Capsule,Oral,No,,,Yes,
SALAZOPYRIN EN-TABS 500 MG,SULFASALAZINE,Pfizer Canada Inc.,Innovator,Resolved,2015-01-16T00:00:00Z,2015-04-27T00:00:00Z,02064472,500 mg,Tablet (Enteric Coated),Oral,,,2015-04-23T00:00:00Z,No,
SALAZOPYRIN EN-TABS 500 MG,SULFASALAZINE,Pfizer Canada Inc.,Innovator,Resolved,2015-02-18T00:00:00Z,2015-04-08T00:00:00Z,02064472,500 mg,Tablet (Enteric Coated),Oral,,,2015-04-08T00:00:00Z,No,
SALAZOPYRIN TAB 500MG,SULFASALAZINE,Pfizer Canada Inc.,Innovator,Resolved,2015-10-01T00:00:00Z,2015-10-27T00:00:00Z,02064480,500 mg,Tablet,Oral,,,2015-10-27T00:00:00Z,No,
SALAZOPYRIN TAB 500MG,SULFASALAZINE,Pfizer Canada Inc.,Innovator,Resolved,2015-10-20T00:00:00Z,2015-12-10T00:00:00Z,02064480,500 mg,Tablet,Oral,,,2015-12-10T00:00:00Z,No,
SALAZOPYRIN TAB 500MG,SULFASALAZINE,Pfizer Canada Inc.,Innovator,Resolved,2015-12-15T00:00:00Z,2016-01-28T00:00:00Z,02064480,500 mg,Tablet,Oral,,,2016-01-28T00:00:00Z,No,
SALAZOPYRIN TAB 500MG,SULFASALAZINE,Pfizer Canada Inc.,Innovator,Resolved,2016-01-06T00:00:00Z,2016-01-28T00:00:00Z,02064480,500 mg,Tablet,Oral,,,2016-01-28T00:00:00Z,No,
SALAZOPYRIN TAB 500MG,SULFASALAZINE,Pfizer Canada Inc.,Innovator,Resolved,2016-03-14T00:00:00Z,2016-04-07T00:00:00Z,02064480,500 mg,Tablet,Oral,,,2016-04-07T00:00:00Z,No,
DIAZEMULS,DIAZEPAM,ACTAVIS GROUP PTC EHF,Generic,Current,2016-01-18T00:00:00Z,2016-01-18T00:00:00Z,02065614,5 mg,Emulsion,Injectable,Yes,,,Yes,
DIAZEMULS,DIAZEMULS,Pfizer Canada Inc.,Innovator,Resolved,2013-05-08T00:00:00Z,2013-07-03T00:00:00Z,02065614,5 mg/mL,Emulsion,Injectable,Yes,,2013-07-02T00:00:00Z,No,
DIAZEMULS,DIAZEPAM,Pfizer Canada Inc.,Innovator,Resolved,2013-12-16T00:00:00Z,2015-06-09T00:00:00Z,02065614,5 mg/mL,Emulsion,Injectable,Yes,,,No,
Intralipid 20% 100mL,Intralipid,Fresenius Kabi Canada,Generic,Resolved,2014-02-28T00:00:00Z,2014-04-03T00:00:00Z,02065673,0.2,Injection,Injectable,Yes,,2014-03-10T00:00:00Z,No,
INTRALIPID,Intralipid 20% Fat Emulsion for Intravenous Nutrition (Baxter Product Code JB6029),Baxter Corporation,Innovator,Resolved,2013-08-29T00:00:00Z,2013-09-18T00:00:00Z,02065673,0.2,Solution,Injectable,Yes,,2013-09-16T00:00:00Z,No,
INTRALIPID,Intralipid 20% Fat Emulsion for Intravenous Nutrition (Baxter Code JB6020),Baxter Corporation,Innovator,Resolved,2013-11-18T00:00:00Z,2014-01-03T00:00:00Z,02065673,0.2,Injection,Injectable,Yes,,,Yes,2014-01-01T00:00:00Z
WARTEC Topical Solution,Podofilox,GlaxoSmithKline Inc.,Innovator,Current,2015-05-15T00:00:00Z,2015-05-15T00:00:00Z,02074788,0.005,Solution (Topical),Topical,No,,2015-05-15T00:00:00Z,Yes,2015-05-01T00:00:00Z
RATIO-SOTALOL,SOTALOL HYDROCHLORIDE,Teva Canada Limited,Generic,Current,2015-09-03T00:00:00Z,2016-04-20T00:00:00Z,02084228,80 mg,Tablet,Oral,,,,Yes,2015-03-01T00:00:00Z
NEURONTIN CAP 300MG,GABAPENTIN,Pfizer Canada Inc.,Innovator,Resolved,2015-02-28T00:00:00Z,2015-04-09T00:00:00Z,02084279,300 mg,Capsule,Oral,,,2015-04-08T00:00:00Z,No,
ALKERAN,Alkeran injection,ASPEN PHARMA TRADING LIMITED,Generic,Resolved,2013-07-09T00:00:00Z,2013-08-13T00:00:00Z,02087286,50 mg,Injection,Injectable,Yes,0.0,2013-08-13T00:00:00Z,No,
ALKERAN,Alkeran injection,ASPEN PHARMA TRADING LIMITED,Generic,Resolved,2013-08-20T00:00:00Z,2013-10-07T00:00:00Z,02087286,50 mg,Injection,Injectable,Yes,0.0,2013-10-08T00:00:00Z,No,
